resn,atn,shd,prev_nei,succ_nei
D,H,-0.17,0.02,-0.03
D,HA,-0.17,0.01,-0.01
D,HB,-0.23,,
D,CA,1.4,0.0,0.1
D,CB,3.0,,
D,CG,3.2,,
D,C,1.1,-0.2,0.4
D,N,1.5,0.3,0.1
D,Np,0.1,,
E,H,0.12,0.00,0.02
E,HA,-0.10,0.01,0.00
E,HB,-0.06,,
E,HG,-0.22,,
E,CA,1.0,0.0,0.0
E,CB,1.5,,
E,CG,3.5,,
E,CD,4.1,,
E,C,0.6,0.1,0.1
E,N,1.0,0.2,0.1
E,Np,0.1,,
H,H,-0.2,-0.01,0.0
H,HA,-0.2,-0.01,-0.06
H,HB,-0.17,,
H,HD2,-0.33,,
H,HE1,-0.92,,
H,CA,1.6,-0.1,0.1
H,CB,2.4,,
H,CG,4.2,,
H,CD2,-0.3,,
H,CE1,2.6,,
H,C,1.5,0.0,0.6
H,N,1.8,0.3,0.5
H,Np,0.5,,
H,ND1,56,,
H,NE2,8,,
C,H,0.0,,
C,HA,-0.28,-0.01,-0.01
C,HB,-0.09,,
C,CA,2.1,0.0,0.1
C,CB,1.7,,
C,C,1.9,-0.4,0.5
C,N,3.6,0.4,0.6
C,Np,0.6,,
Y,H,0.0,,
Y,HA,-0.06,,
Y,HB,-0.08,,
Y,HD,-0.17,,
Y,HE,-0.28,,
Y,CA,0.3,,
Y,CB,0.1,,
Y,CG,-6.7,,
Y,CD,-0.1,,
Y,CE,3.3,,
Y,CZ,10.4,,
Y,C,0.4,,
Y,N,0.6,,
K,H,0.0,,
K,HA,-0.04,,
K,HB,-0.04,,
K,HG,-0.08,,
K,HD,-0.24,,
K,HE,-0.40,,
K,CA,0.4,,
K,CB,0.3,,
K,CG,0.4,,
K,CD,5.0,,
K,CE,1.0,,
K,C,0.5,,
K,N,0.7,,
K,Np,0.1,,
R,H,0.0,,
R,HA,-0.07,,
R,HB,0.05,,
R,HG,0.05,,
R,HD,-0.19,,
R,CA,0.2,,
R,CB,0.9,,
R,CG,1.0,,
R,CD,0.5,,
R,CZ,4.0,,
R,C,0.2,,
R,N,0.4,,
R,NE,5.9,,
R,NG,22,,
