residue,atom,val1,val2,val3,val4,val5
D,H,8.55,8.38,-0.17,0.02,-0.03
D,HA,4.78,4.61,-0.17,0.01,-0.01
D,HB,2.93,2.70,-0.23,,
D,CA,52.9,54.3,1.4,0.0,0.1
D,CB,38.0,41.1,3.0,,
D,CG,177.1,180.3,3.2,,
D,C,175.8,176.9,1.1,-0.2,0.4
D,N,118.7,120.2,1.5,0.3,0.1
D,Np,na,na,0.1,,
E,H,8.45,8.57,0.12,0.00,0.02
E,HA,4.39,4.29,-0.10,0.01,0.00
E,HB,2.08,2.02,-0.06,,
E,HG,2.49,2.27,-0.22,,
E,CA,56.0,56.9,1.0,0.0,0.0
E,CB,28.5,30.0,1.5,,
E,CG,32.7,36.1,3.5,,
E,CD,179.7,183.8,4.1,,
E,C,176.5,177.0,0.6,0.1,0.1
E,N,119.9,120.9,1.0,0.2,0.1
E,Np,na,na,0.1,,
H,H,8.55,8.35,-0.2,-0.01,0.0
H,HA,4.75,4.59,-0.2,-0.01,-0.06
H,HB,3.25,3.08,-0.17,,
H,HD2,7.30,6.97,-0.33,,
H,HE1,8.60,7.68,-0.92,,
H,CA,55.1,56.7,1.6,-0.1,0.1
H,CB,28.9,31.3,2.4,,
H,CG,131.0,135.3,4.2,,
H,CD2,120.3,120.0,-0.3,,
H,CE1,136.6,139.2,2.6,,
H,C,174.8,176.2,1.5,0.0,0.6
H,N,117.9,119.7,1.8,0.3,0.5
H,Np,na,na,0.5,,
H,ND1,175.8,231.3,56,,
H,NE2,173.1,181.1,8,,
C,H,8.49,8.49,0.0,,
C,HA,4.56,4.28,-0.28,-0.01,-0.01
C,HB,2.97,2.88,-0.09,,
C,CA,58.5,60.6,2.1,0.0,0.1
C,CB,28.0,29.7,1.7,,
C,C,175.0,176.9,1.9,-0.4,0.5
C,N,118.7,122.2,3.6,0.4,0.6
C,Np,na,na,0.6,,
Y,H,8.16,8.16,0.0,,
Y,HA,4.55,4.49,-0.06,,
Y,HB,3.02,2.94,-0.08,,
Y,HD,7.14,6.97,-0.17,,
Y,HE,6.85,6.57,-0.28,,
Y,CA,58.0,58.2,0.3,,
Y,CB,38.6,38.7,0.1,,
Y,CG,130.5,123.8,-6.7,,
Y,CD,133.3,133.2,-0.1,,
Y,CE,118.4,121.7,3.3,,
Y,CZ,157.0,167.4,10.4,,
Y,C,176.3,176.7,0.4,,
Y,N,120.1,120.7,0.6,,
K,H,8.4,8.4,0.0,,
K,HA,4.34,4.30,-0.04,,
K,HB,1.82,1.78,-0.04,,
K,HG,1.44,1.36,-0.08,,
K,HD,1.68,1.44,-0.24,,
K,HE,3.00,2.60,-0.40,,
K,CA,56.4,56.9,0.4,,
K,CB,32.8,33.2,0.3,,
K,CG,24.7,25.0,0.4,,
K,CD,28.9,33.9,5.0,,
K,CE,42.1,43.1,1.0,,
K,C,177.0,177.5,0.5,,
K,N,121.0,121.7,0.7,,
K,Np,na,na,0.1,,
R,H,7.81,7.81,0.0,,
R,HA,3.26,3.19,-0.07,,
R,HB,1.60,1.55,0.05,,
R,HG,1.60,1.55,0.05,,
R,HD,3.19,3.00,-0.19,,
R,CA,58.4,58.6,0.2,,
R,CB,34.4,35.2,0.9,,
R,CG,27.2,28.1,1.0,,
R,CD,43.8,44.3,0.5,,
R,CZ,159.6,163.5,4.0,,
R,C,185.8,186.1,0.2,,
R,N,122.4,122.8,0.4,,
R,NE,85.6,91.5,5.9,,
R,NG,71.2,93.2,22,,
